JobTitle,CompanyName,Location,Summary,Salary,PostedOn
"
            Shopalyst Technologies - Backend Engineer - Python/NodeJs",Shopalyst Technologies Pvt Ltd,Hyderabad,"We are currently looking for people to join our Engineering Operations team where internet scale, reliability, security, high performance and self management…","₹4,00,000 - ₹8,00,000 a year",Not Mentioned
"
            Backend Python/Scala",PatientMD,Hyderabad,"Scala, Python or other related languages. Backend = Python, Scala / Akka, Java, C; We are looking for backend engineers with a passion for building highly…",Not Disclosed,Not Mentioned
"
            Post Silicon Validation",Intel,Hyderabad,"Prior experience with IA-Core Assembly, C and/or C++ programming, Python. The Validation Architect (VA) will work as part of the newly-formed FVDG (Functional…",Not Disclosed,3 days ago
"
            Business Process Associate",NUKG Business Solutions,Hyderabad,Candidates with exposure to coding / scripting using Python as well as Sql Server may be considered as Business Systems Analysts.. You are a people person?.,Not Disclosed,Not Mentioned
"
            Water Resources Engineer",Aapah Innovations,"Hyderabad, Telangana","C, Fortran, Python, R, Matlab). As a key member of water resources modelling team, you will be responsible for the development and execution of water resources…",₹22 an hour,6 days ago
"
Python Architect",Aujas,"Bengaluru, Karnataka","Must be very good with Python and Django coding/programming. Transform clients business requirements into tangible technical requirements, design a high-level…",Not Disclosed,2 days ago
"
            Data Science - Python/Django Internship",ALLSPARK HEALTH LABS,"Bengaluru, Karnataka",AllSpark Labs helps enterprise organizations to automate the operations better using artificial intelligence technology and machine learning.,"₹14,000 a month",5 days ago
"
Python Developers",Cashapona,"Hyderabad, Telangana","Strong programming skills (Python, Matlab). Desirable (but NOT Mandatory) experience with Deep Learning packages (TensorFlow, MatConvNet, Caffe, Torch, Theano).",Not Disclosed,6 months ago
"
Python Developer",Minfy Technologies,"Hyderabad, Telangana","Expert knowledge in Python, withproficiency in least one Python web framework (e.g. Having experience on Tornado-SQLAlchemy, Python socket-io is good tohave.","₹5,00,000 - ₹8,00,000 a year",2 days ago
"
Python for Data Science-Developer",Wipro LTD,"Bengaluru, Karnataka","Python for Data Science Technical Consulting. N Python for Data Science-L2, (Mandatory) and Data Science-L2, (Optional).As a Developer, you are responsible for…",Not Disclosed,14 hours ago
"
Python Developer",Grid Logic Software Private Limited,"Hyderabad, Telangana",XML parsing and generation using python. Experience in using python on Linux. Prior experience in a Python web environment. Work in an AGILE environment.,Not Disclosed,4 months ago
"
Python Trainees/Interns required @ Nagpur",Percept,"Nagpur, Maharashtra", Different Modes in PYTHON.  Python Operators and Operands.  Python Date and Time.  Python Class and Objects.  Sequence or Collections in PYTHON.,Not Disclosed,16 days ago
"
            Data Scientist",shezartech.com,"Hyderabad, Telangana",Opportunity for experienced professionals (1+ year) to work at Japan.. Human Resocia *This is a Japanese Company and they are looking to add more people to…,Not Disclosed,2 days ago
